task_id,filename,word_count,warning
1,IMG_6865.jpg,110,Word count (110) is outside the 60-100 limit
2,IMG_6866.jpg,112,Word count (112) is outside the 60-100 limit
3,IMG_7602.jpg,105,Word count (105) is outside the 60-100 limit
4,IMG_7615.jpg,153,Word count (153) is outside the 60-100 limit
5,IMG_7616.jpg,105,Word count (105) is outside the 60-100 limit
6,IMG_7617.jpg,111,Word count (111) is outside the 60-100 limit
7,IMG_0005.jpg,110,Word count (110) is outside the 60-100 limit
8,IMG_0011.jpg,105,Word count (105) is outside the 60-100 limit
9,IMG_0012.jpg,128,Word count (128) is outside the 60-100 limit
10,IMG_0013.jpg,102,Word count (102) is outside the 60-100 limit
11,IMG_0014.jpg,125,Word count (125) is outside the 60-100 limit
12,IMG_0016.jpg,109,Word count (109) is outside the 60-100 limit
13,IMG_0017-Recuperato.jpg,151,Word count (151) is outside the 60-100 limit
14,IMG_0019.jpg,146,Word count (146) is outside the 60-100 limit
15,IMG_0020.jpg,108,Word count (108) is outside the 60-100 limit
16,IMG_0021.jpg,99,
17,IMG_0022.jpg,128,Word count (128) is outside the 60-100 limit
18,IMG_0023.jpg,121,Word count (121) is outside the 60-100 limit
19,IMG_0024.jpg,113,Word count (113) is outside the 60-100 limit
20,IMG_0025.jpg,137,Word count (137) is outside the 60-100 limit
21,IMG_0026.jpg,106,Word count (106) is outside the 60-100 limit
22,IMG_0027.jpg,145,Word count (145) is outside the 60-100 limit
23,IMG_0028.jpg,117,Word count (117) is outside the 60-100 limit
24,IMG_0029.jpg,124,Word count (124) is outside the 60-100 limit
25,IMG_0030.jpg,104,Word count (104) is outside the 60-100 limit
26,IMG_0031.jpg,144,Word count (144) is outside the 60-100 limit
27,IMG_0032.jpg,111,Word count (111) is outside the 60-100 limit
28,IMG_0033.jpg,132,Word count (132) is outside the 60-100 limit
29,IMG_0036.jpg,112,Word count (112) is outside the 60-100 limit
30,IMG_0037.jpg,146,Word count (146) is outside the 60-100 limit
31,IMG_0038.jpg,176,Word count (176) is outside the 60-100 limit
32,IMG_0039.jpg,105,Word count (105) is outside the 60-100 limit
33,IMG_0041.jpg,130,Word count (130) is outside the 60-100 limit
34,IMG_0042.jpg,125,Word count (125) is outside the 60-100 limit
35,IMG_0044.jpg,97,
36,IMG_0095.jpg,103,Word count (103) is outside the 60-100 limit
37,IMG_0097.jpg,112,Word count (112) is outside the 60-100 limit
38,IMG_0099.jpg,121,Word count (121) is outside the 60-100 limit
39,IMG_0106.jpg,104,Word count (104) is outside the 60-100 limit
40,IMG_0110.jpg,109,Word count (109) is outside the 60-100 limit
41,IMG_0116.jpg,115,Word count (115) is outside the 60-100 limit
42,IMG_0117.jpg,100,
43,IMG_0180.jpg,106,Word count (106) is outside the 60-100 limit
44,IMG_0182.jpg,124,Word count (124) is outside the 60-100 limit
45,IMG_0184.jpg,116,Word count (116) is outside the 60-100 limit
46,IMG_0185.jpg,124,Word count (124) is outside the 60-100 limit
47,IMG_0186.jpg,118,Word count (118) is outside the 60-100 limit
48,IMG_0188.jpg,114,Word count (114) is outside the 60-100 limit
51,IMG_0191.jpg,126,Word count (126) is outside the 60-100 limit
52,IMG_0192.jpg,106,Word count (106) is outside the 60-100 limit
53,IMG_0193.jpg,112,Word count (112) is outside the 60-100 limit
54,IMG_0194.jpg,128,Word count (128) is outside the 60-100 limit
55,IMG_0195.jpg,132,Word count (132) is outside the 60-100 limit
